Name,Count
George_W._Bush,38948
Wikipedia,26740
United_States,22467
World_Wrestling_Entertainment_roster,20838
Wii,18984
Jesus,18818
Deaths_in_2007,18124
World_War_II,17906
Adolf_Hitler,17180
2006_Lebanon_War,17019
